GeneID	Symbol	Description	log2(fold change)	-log10(Pvalue)
51719	CAB39	calcium binding protein 39	0.493	1.411
81618	ITM2C	integral membrane protein 2C	2.815	3.75
9290	GPR55	G protein-coupled receptor 55	-2.495	1.894
93010	B3GNT7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7	1.877	1.32
10316	NMUR1	neuromedin U receptor 1	2.247	1.897
5757	PTMA	prothymosin alpha	-0.406	1.497
129563	DIS3L2	DIS3 like 3'-5' exoribonuclease 2	-0.76	3.378
9470	EIF4E2	eukaryotic translation initiation factor 4E family member 2	-0.785	4.09
55054	ATG16L1	autophagy related 16 like 1	0.808	1.648
8527	DGKD	diacylglycerol kinase delta	1.027	7.384
55230	USP40	ubiquitin specific peptidase 40	-1.623	13.812
55355	HJURP	Holliday junction recognition protein	3.548	2.092
10123	ARL4C	ADP ribosylation factor like GTPase 4C	-4.535	16.449
23677	SH3BP4	SH3 domain binding protein 4	-3.722	4.393
80895	ILKAP	ILK associated serine/threonine phosphatase	0.576	1.606
151174	LINC02610	long intergenic non-protein coding RNA 2610	2.055	1.5
26146	TRAF3IP1	TRAF3 interacting protein 1	-1.578	6.508
117581	TWIST2	twist family bHLH transcription factor 2	2.635	1.855
9759	HDAC4	histone deacetylase 4	1.146	2.497
85009	MGC16025	uncharacterized LOC85009	2.136	3.013
4705	NDUFA10	NADH:ubiquinone oxidoreductase subunit A10	-0.39	1.635
2859	GPR35	G protein-coupled receptor 35	-1.415	1.797
728763	CROCC2	ciliary rootlet coiled-coil, rootletin family member 2	-7.936	16.488
200772	UICLM	up-regulated in colorectal cancer liver metastasis	-7.062	20.203
25992	SNED1	sushi, nidogen and EGF like domains 1	-2.244	6.46
50636	ANO7	anoctamin 7	0.977	1.726
4735	SEPTIN2	septin 2	-0.558	2.855
9855	FARP2	FERM, ARH/RhoGEF and pleckstrin domain protein 2	-1.15	2.941
105373973	LOC105373973	uncharacterized LOC105373973	-2.482	2.316
10494	STK25	serine/threonine kinase 25	-0.411	1.538
1841	DTYMK	deoxythymidylate kinase	0.958	1.497
84289	ING5	inhibitor of growth family member 5	1.137	13.959
728294	D2HGDH	D-2-hydroxyglutarate dehydrogenase	1.082	2.699
5133	PDCD1	programmed cell death 1	-2.455	1.967
102723927	LINC01238	long intergenic non-protein coding RNA 1238	-3.234	5.632
57633	LRRN1	leucine rich repeat neuronal 1	2.679	2.34
3708	ITPR1	inositol 1,4,5-trisphosphate receptor type 1	-2.339	9.287
100507582	BHLHE40-AS1	BHLHE40 antisense RNA 1	-1.357	2.334
8553	BHLHE40	basic helix-loop-helix family member e40	-1.434	3.011
9695	EDEM1	ER degradation enhancing alpha-mannosidase like protein 1	0.68	2.772
56852	RAD18	RAD18 E3 ubiquitin protein ligase	0.847	1.598
9901	SRGAP3	SLIT-ROBO Rho GTPase activating protein 3	-1.122	1.931
440944	THUMPD3-AS1	THUMPD3 antisense RNA 1	0.989	5.361
8536	CAMK1	calcium/calmodulin dependent protein kinase I	-2.199	19.787
10093	ARPC4	actin related protein 2/3 complex subunit 4	0.702	7.704
100526693	ARPC4-TTLL3	ARPC4-TTLL3 readthrough	0.838	5.028
26140	TTLL3	tubulin tyrosine ligase like 3	1.107	3.26
84522	JAGN1	jagunal homolog 1	-0.631	1.865
84818	IL17RC	interleukin 17 receptor C	-0.633	1.303
78987	CRELD1	cysteine rich with EGF like domains 1	-1.039	3.361
442075	EMC3-AS1	EMC3 antisense RNA 1	1.623	2.944
152302	CIDECP1	CIDEC pseudogene 1	1.102	3.517
2177	FANCD2	FA complementation group D2	1.926	3.148
3656	IRAK2	interleukin 1 receptor associated kinase 2	1.842	6.795
9797	TATDN2	TatD DNase domain containing 2	0.753	3.806
113219470	MIR12127	microRNA 12127	1.088	3.44
100126793	GHRLOS	ghrelin opposite strand/antisense RNA	1.124	3.667
84657	LINC00852	long intergenic non-protein coding RNA 852	1.003	2.417
51738	GHRL	ghrelin and obestatin prepropeptide	1.489	4.209
102723663	LOC102723663	uncharacterized LOC102723663	1.666	4.636
10533	ATG7	autophagy related 7	0.401	1.599
9686	VGLL4	vestigial like family member 4	0.449	1.467
6854	SYN2	synapsin II	2.554	2.542
5468	PPARG	peroxisome proliferator activated receptor gamma	3.019	8.087
80746	TSEN2	tRNA splicing endonuclease subunit 2	-0.993	1.671
5894	RAF1	Raf-1 proto-oncogene, serine/threonine kinase	0.614	1.846
6161	RPL32	ribosomal protein L32	-0.693	2.657
131474	CHCHD4	coiled-coil-helix-coiled-coil-helix domain containing 4	-1.298	2.048
7508	XPC	XPC complex subunit, DNA damage recognition and repair factor	-0.801	1.86
105376959	LOC105376959	uncharacterized LOC105376959	3.073	3.692
84077	C3orf20	chromosome 3 open reading frame 20	0.74	1.508
64432	MRPS25	mitochondrial ribosomal protein S25	-0.5	2.666
64145	RBSN	rabenosyn, RAB effector	0.601	1.754
23243	ANKRD28	ankyrin repeat domain 28	1.963	4.33
101927647	LOC101927647	uncharacterized LOC101927647	1.76	1.519
92106	OXNAD1	oxidoreductase NAD binding domain containing 1	-2	8.626
23180	RFTN1	raftlin, lipid raft linker 1	-2.617	28.987
23228	PLCL2	phospholipase C like 2	0.419	1.4
105376972	LOC105376972	uncharacterized LOC105376972	1.74	1.922
5868	RAB5A	RAB5A, member RAS oncogene family	0.434	1.61
151648	SGO1	shugoshin 1	2.405	4.021
100874028	SGO1-AS1	SGO1 antisense RNA 1	2.77	2.575
7325	UBE2E2	ubiquitin conjugating enzyme E2 E2	-1.88	3.887
107986069	LOC107986069		-1.986	2.696
9975	NR1D2	nuclear receptor subfamily 1 group D member 2	-1.556	2.288
101927854	THRB-AS2	THRB antisense RNA 2	-2.924	1.66
9497	SLC4A7	solute carrier family 4 member 7	-1.927	4.942
105377016	LOC105377016	uncharacterized LOC105377016	1.231	3.811
114884	OSBPL10	oxysterol binding protein like 10	-4.421	4.051
54918	CMTM6	CKLF like MARVEL transmembrane domain containing 6	0.517	2.36
2720	GLB1	galactosidase beta 1	-0.934	4.902
10491	CRTAP	cartilage associated protein	-1.217	3.555
7342	UBP1	upstream binding protein 1	-0.643	3.35
23122	CLASP2	cytoplasmic linker associated protein 2	-0.504	2.674
9852	EPM2AIP1	EPM2A interacting protein 1	0.857	3.149
9209	LRRFIP2	LRR binding FLII interacting protein 2	0.849	4.024
112268444	LOC112268444		1.142	2.72
3680	ITGA9	integrin subunit alpha 9	2.368	2.454
101928153	ITGA9-AS1	ITGA9 antisense RNA 1	2.346	3.469
10217	CTDSPL	CTD small phosphatase like	1.963	3.275
50853	VILL	villin like	0.627	2.208
5333	PLCD1	phospholipase C delta 1	1.739	8.358
9389	SLC22A14	solute carrier family 22 member 14	2.88	3.606
93	ACVR2B	activin A receptor type 2B	-1.006	1.791
6331	SCN5A	sodium voltage-gated channel alpha subunit 5	5.423	4.561
64689	GORASP1	golgi reassembly stacking protein 1	-0.659	3.467
199223	TTC21A	tetratricopeptide repeat domain 21A	-2.115	3.532
1524	CX3CR1	C-X3-C motif chemokine receptor 1	-3.634	5.162
54977	SLC25A38	solute carrier family 25 member 38	0.821	1.826
440952	EIF1B-AS1	EIF1B antisense RNA 1	1.551	2.721
10289	EIF1B	eukaryotic translation initiation factor 1B	1.475	3.321
9045	RPL14	ribosomal protein L14	-0.533	1.915
22906	TRAK1	trafficking kinesin protein 1	-1.507	18.583
7433	VIPR1	vasoactive intestinal peptide receptor 1	-1.833	4.526
100874007	VIPR1-AS1	VIPR1 antisense RNA 1	-1.595	1.79
9117	SEC22C	SEC22 homolog C, vesicle trafficking protein	0.72	4.55
92999	ZBTB47	zinc finger and BTB domain containing 47	-0.444	1.369
54861	SNRK	SNF related kinase	0.924	3.66
100873954	SNRK-AS1	SNRK antisense RNA 1	0.973	3.978
55129	ANO10	anoctamin 10	2.109	8.647
51099	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	2.431	9.577
102724231	C3orf86P	long intergenic non-protein coding RNA 694	2.214	8.66
100506319	LINC01988	long intergenic non-protein coding RNA 1988	2.447	2.685
353274	ZNF445	zinc finger protein 445	0.55	2.403
285346	ZNF852	zinc finger protein 852	0.654	2.216
285349	ZNF660	zinc finger protein 660	1.374	1.393
56992	KIF15	kinesin family member 15	2.993	2.608
51304	ZDHHC3	zinc finger DHHC-type palmitoyltransferase 3	1.136	11.177
8994	LIMD1	LIM domain containing 1	-1.66	13.442
644714	LIMD1-AS1	LIMD1 antisense RNA 1	-1.744	7.872
54585	LZTFL1	leucine zipper transcription factor like 1	-0.982	2.144
10803	CCR9	C-C motif chemokine receptor 9	-2.216	2.343
79443	FYCO1	FYVE and coiled-coil domain autophagy adaptor 1	-0.907	4.91
2829	XCR1	X-C motif chemokine receptor 1	2.677	1.372
105377067	LOC105377067	uncharacterized LOC105377067	2.859	1.354
1230	CCR1	C-C motif chemokine receptor 1	-2.191	2.892
729230	CCR2	C-C motif chemokine receptor 2	-2.28	5.873
102724297	CCR5AS	CCR5 antisense RNA	-2.826	4.811
1234	CCR5	C-C motif chemokine receptor 5	-4.779	11.885
9034	CCRL2	C-C motif chemokine receptor like 2	-1.177	1.55
105377068	LINC02009	long intergenic non-protein coding RNA 2009	3.515	2.07
4057	LTF	lactotransferrin	3.118	2.324
259173	ALS2CL	ALS2 C-terminal like	-4.708	20.551
151903	CCDC12	coiled-coil domain containing 12	-0.574	1.782
23218	NBEAL2	neurobeachin like 2	1.111	7.179
100129354	NRADDP	neurotrophin receptor associated death domain, pseudogene	1.094	1.597
285352	KIF9-AS1	KIF9 antisense RNA 1	0.777	1.354
64147	KIF9	kinesin family member 9	0.86	2.098
6599	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	-0.67	3.259
993	CDC25A	cell division cycle 25A	3.918	4.598
820	CAMP	cathelicidin antimicrobial peptide	2.76	1.308
646424	SPINK8	serine peptidase inhibitor Kazal type 8 (putative)	3.284	3.068
51372	TMA7	translation machinery associated 7 homolog	0.83	4.008
84126	ATRIP	ATR interacting protein	-1.275	7.743
111822955	ATRIP-TREX1	ATRIP-TREX1 readthrough	-1.311	8.363
11277	TREX1	three prime repair exonuclease 1	-1.895	13.733
51246	SHISA5	shisa family member 5	-1.037	1.774
65010	SLC26A6	solute carrier family 26 member 6	1.886	11.315
102465495	MIR6824	microRNA 6824	1.976	1.968
1951	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3	-0.985	2.291
51447	IP6K2	inositol hexakisphosphate kinase 2	0.656	1.454
10425	ARIH2	ariadne RBR E3 ubiquitin protein ligase 2	-0.466	2.566
55152	DALRD3	DALR anticodon binding domain containing 3	0.517	2.018
3913	LAMB2	laminin subunit beta 2	-3.036	8.09
64925	CCDC71	coiled-coil domain containing 71	-0.647	1.763
200942	KLHDC8B	kelch domain containing 8B	-1.693	4.001
375341	C3orf62	chromosome 3 open reading frame 62	0.663	1.85
2876	GPX1	glutathione peroxidase 1	-1.399	3.007
275	AMT	aminomethyltransferase	0.573	1.471
84276	NICN1	nicolin 1, tubulin polyglutamylase complex subunit	0.524	1.72
1605	DAG1	dystroglycan 1	-1.631	14.61
4485	MST1	macrophage stimulating 1	0.783	1.897
386724	AMIGO3	adhesion molecule with Ig like domain 3	0.674	1.96
7318	UBA7	ubiquitin like modifier activating enzyme 7	-0.877	3.222
100847079	MIR5193	microRNA 5193	-0.691	1.53
10293	TRAIP	TRAF interacting protein	2.001	2.717
84315	MON1A	MON1 homolog A, secretory trafficking associated	-0.837	1.815
10180	RBM6	RNA binding motif protein 6	-0.564	2.494
10181	RBM5	RNA binding motif protein 5	0.569	2.554
100775107	RBM5-AS1	RBM5 antisense RNA 1	0.566	1.832
100129060	SEMA3F-AS1	SEMA3F antisense RNA 1	0.629	1.78
7866	IFRD2	interferon related developmental regulator 2	-1.153	4.337
8372	HYAL3	hyaluronidase 3	2.104	3.072
24142	NAA80	N-alpha-acetyltransferase 80, NatH catalytic subunit	1.667	3.972
8692	HYAL2	hyaluronidase 2	-1.135	3.017
11186	RASSF1	Ras association domain family member 1	0.588	2.566
51364	ZMYND10	zinc finger MYND-type containing 10	1.027	2.392
10641	NPRL2	NPR2 like, GATOR1 complex subunit	0.595	2.25
51409	HEMK1	HemK methyltransferase family member 1	-0.773	2.045
1154	CISH	cytokine inducible SH2 containing protein	-1.634	6.507
29890	RBM15B	RNA binding motif protein 15B	-0.839	4.679
51368	TEX264	testis expressed 264, ER-phagy receptor	-0.627	2.327
9136	RRP9	ribosomal RNA processing 9, U3 small nucleolar RNA binding protein	-1.173	3.878
10039	PARP3	poly(ADP-ribose) polymerase family member 3	-1.964	8.142
84836	ABHD14B	abhydrolase domain containing 14B	-1.092	6.2
100526760	ABHD14A-ACY1	ABHD14A-ACY1 readthrough	-1.814	6.13
95	ACY1	aminoacylase 1	-2.201	5.211
6159	RPL29	ribosomal protein L29	-0.674	2.226
1849	DUSP7	dual specificity phosphatase 7	-2.183	14.206
25886	POC1A	POC1 centriolar protein A	1.945	3.469
211	ALAS1	5'-aminolevulinate synthase 1	1.079	1.486
54106	TLR9	toll like receptor 9	1.228	1.969
132160	PPM1M	protein phosphatase, Mg2+/Mn2+ dependent 1M	0.615	3.159
132158	GLYCTK	glycerate kinase	1.012	6.935
51533	PHF7	PHD finger protein 7	0.607	1.588
23166	STAB1	stabilin 1	-2.048	4.896
26354	GNL3	G protein nucleolar 3	-0.883	6.962
6787	NEK4	NIMA related kinase 4	-0.705	2.085
3697	ITIH1	inter-alpha-trypsin inhibitor heavy chain 1	-3.216	2.98
7086	TKT	transketolase	1.097	5.831
776	CACNA1D	calcium voltage-gated channel subunit alpha1 D	2.313	3.394
55349	CHDH	choline dehydrogenase	3.112	3.241
55799	CACNA2D3	calcium voltage-gated channel auxiliary subunit alpha2delta 3	-2.2	1.789
285331	CCDC66	coiled-coil domain containing 66	0.674	1.404
50650	ARHGEF3	Rho guanine nucleotide exchange factor 3	-1.834	7.67
8820	HESX1	HESX homeobox 1	-2.58	2.518
201627	DENND6A	DENN domain containing 6A	-0.406	2.226
7871	SLMAP	sarcolemma associated protein	0.411	1.46
2317	FLNB	filamin B	-1.495	3.027
105377105	FLNB-AS1	FLNB antisense RNA 1	-1.438	2.931
57406	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	-2.892	15.258
54899	PXK	PX domain containing serine/threonine kinase like	0.936	6.116
107986092	LOC107986092	uncharacterized LOC107986092	-3.704	4.986
200845	KCTD6	potassium channel tetramerization domain containing 6	-1.403	3.39
2272	FHIT	fragile histidine triad diadenosine triphosphatase	-1.014	1.875
57415	C3orf14	chromosome 3 open reading frame 14	-2.565	2.965
9861	PSMD6	proteasome 26S subunit, non-ATPase 6	0.539	1.865
26018	LRIG1	leucine rich repeats and immunoglobulin like domains 1	1.647	4.271
8801	SUCLG2	succinate-CoA ligase GDP-forming subunit beta	-0.823	2.345
9039	UBA3	ubiquitin like modifier activating enzyme 3	-0.446	1.796
10550	ARL6IP5	ADP ribosylation factor like GTPase 6 interacting protein 5	-0.599	2.552
4286	MITF	melanocyte inducing transcription factor	-2.036	3.665
317649	EIF4E3	eukaryotic translation initiation factor 4E family member 3	0.579	1.572
2850	GPR27	G protein-coupled receptor 27	2.49	14.689
60675	PROK2	prokineticin 2	3.223	17.869
285286	LINC00877	long intergenic non-protein coding RNA 877	-2.116	4.47
727936	GXYLT2	glucoside xylosyltransferase 2	3.403	2.679
151987	PPP4R2	protein phosphatase 4 regulatory subunit 2	1.282	5.406
55096	EBLN2	endogenous Bornavirus like nucleoprotein 2	1.229	2.652
692099	FAM86DP	family with sequence similarity 86 member D, pseudogene	-1.137	1.719
2632	GBE1	1,4-alpha-glucan branching enzyme 1	2.088	8.328
8545	CGGBP1	CGG triplet repeat binding protein 1	0.354	1.355
200894	ARL13B	ADP ribosylation factor like GTPase 13B	-0.942	1.947
131544	CRYBG3	crystallin beta-gamma domain containing 3	-2.923	33.505
84864	RIOX2	ribosomal oxygenase 2	-2.858	18.602
1371	CPOX	coproporphyrinogen oxidase	-1.189	3.245
56954	NIT2	nitrilase family member 2	1.184	4.177
9868	TOMM70	translocase of outer mitochondrial membrane 70	-0.559	1.408
54931	TRMT10C	tRNA methyltransferase 10C, mitochondrial RNase P subunit	-1.293	2.8
79598	CEP97	centrosomal protein 97	1.852	8.09
91775	NXPE3	neurexophilin and PC-esterase domain family member 3	0.672	3.665
152225	RDUR	RIG-I dependent antiviral response regulator RNA	-3.027	3.25
214	ALCAM	activated leukocyte cell adhesion molecule	1.114	7.627
56987	BBX	BBX high mobility group box domain containing	-0.682	2.776
961	CD47	CD47 molecule	0.743	2.496
55081	IFT57	intraflagellar transport 57	0.684	1.867
57650	CIP2A	cellular inhibitor of PP2A	1.74	2.223
50852	TRAT1	T cell receptor associated transmembrane adaptor 1	-3.424	2.541
55211	DPPA4	developmental pluripotency associated 4	3.175	6.272
257144	GCSAM	germinal center associated signaling and motility	1.396	1.305
151888	BTLA	B and T lymphocyte associated	-3.07	2.104
131450	CD200R1	CD200 receptor 1	1.358	1.343
107986114	NEPRO-AS1	NEPRO antisense RNA 1	-1.033	1.318
107986113	LOC107986113		-2.13	2.317
55779	CFAP44	cilia and flagella associated protein 44	-0.768	1.555
152185	SPICE1	spindle and centriole associated protein 1	-0.656	1.462
54847	SIDT1	SID1 transmembrane family member 1	-2.938	3.157
523	ATP6V1A	ATPase H+ transporting V1 subunit A	-0.729	1.357
79691	QTRT2	queuine tRNA-ribosyltransferase accessory subunit 2	-0.823	3.463
8702	B4GALT4	beta-1,4-galactosyltransferase 4	1.534	3.468
100874201	B4GALT4-AS1	B4GALT4 antisense RNA 1	1.462	2.064
57514	ARHGAP31	Rho GTPase activating protein 31	-2.354	17.907
100874246	ARHGAP31-AS1	ARHGAP31 antisense RNA 1	-1.889	2.731
55254	TMEM39A	transmembrane protein 39A	0.58	1.7
56983	POGLUT1	protein O-glucosyltransferase 1	-1.064	8.127
941	CD80	CD80 molecule	-3.175	3.81
141	ADPRH	ADP-ribosylarginine hydrolase	-2.448	10.869
51365	PLA1A	phospholipase A1 member A	-4.846	3.215
10063	COX17	cytochrome c oxidase copper chaperone COX17	0.685	3.404
107986119	GSK3B-DT	GSK3B divergent transcript	1.904	3.426
10721	POLQ	DNA polymerase theta	2.827	2.723
51725	FBXO40	F-box protein 40	1.31	3.937
55840	EAF2	ELL associated factor 2	0.958	1.649
6565	SLC15A2	solute carrier family 15 member 2	0.594	1.383
942	CD86	CD86 molecule	-3.334	17.955
1475	CSTA	cystatin A	0.743	10.276
105374071	LOC105374071	uncharacterized LOC105374071	-1.297	1.647
83666	PARP9	poly(ADP-ribose) polymerase family member 9	-1.525	1.874
151636	DTX3L	deltex E3 ubiquitin ligase 3L	-1.096	1.81
165631	PARP15	poly(ADP-ribose) polymerase family member 15	-2.827	7.336
54625	PARP14	poly(ADP-ribose) polymerase family member 14	-2.548	5.247
10954	PDIA5	protein disulfide isomerase family A member 5	-0.61	1.504
201562	HACD2	3-hydroxyacyl-CoA dehydratase 2	-0.821	2.007
64770	CCDC14	coiled-coil domain containing 14	1.109	3.606
3693	ITGB5	integrin subunit beta 5	-1.164	1.856
57493	HEG1	heart development protein with EGF like domains 1	-4.435	14.532
114885	OSBPL11	oxysterol binding protein like 11	-0.946	2.202
54946	SLC41A3	solute carrier family 41 member 3	-0.907	1.758
79364	ZXDC	ZXD family zinc finger C	0.677	3.494
166012	CHST13	carbohydrate sulfotransferase 13	-2.136	2.25
152065	C3orf22	chromosome 3 open reading frame 22	-2.083	1.399
84303	CHCHD6	coiled-coil-helix-coiled-coil-helix domain containing 6	-1.793	2.694
5361	PLXNA1	plexin A1	-2.898	6.59
4171	MCM2	minichromosome maintenance complex component 2	2.348	2.392
107986126	LOC107986126	uncharacterized LOC107986126	2.41	2.753
80325	ABTB1	ankyrin repeat and BTB domain containing 1	1.398	3.565
60678	EEFSEC	eukaryotic elongation factor, selenocysteine-tRNA specific	-1.225	8.284
6184	RPN1	ribophorin I	-0.29	1.359
100534599	ISY1-RAB43	ISY1-RAB43 readthrough	0.597	1.564
339122	RAB43	RAB43, member RAS oncogene family	0.837	2.554
57461	ISY1	ISY1 splicing factor homolog	0.41	1.318
7555	CNBP	CCHC-type zinc finger nucleic acid binding protein	-0.754	4.762
90288	EFCAB12	EF-hand calcium binding domain 12	2.117	4.718
8930	MBD4	methyl-CpG binding domain 4, DNA glycosylase	1.044	5.291
55764	IFT122	intraflagellar transport 122	0.962	3.655
132243	H1-8	H1.8 linker histone	-2.811	2.082
23129	PLXND1	plexin D1	-2.591	5.491
30849	PIK3R4	phosphoinositide-3-kinase regulatory subunit 4	-0.666	2.344
28990	ASTE1	asteroid homolog 1	0.904	1.442
152195	NUDT16L2P	nudix hydrolase 16 like 2, pseudogene	-0.928	1.699
131870	NUDT16	nudix hydrolase 16	-0.899	3.969
11222	MRPL3	mitochondrial ribosomal protein L3	-1.007	3.638
105374114	LOC105374114	uncharacterized LOC105374114	-1.069	2.491
23317	DNAJC13	DnaJ heat shock protein family (Hsp40) member C13	0.907	2.19
100532724	NPHP3-ACAD11	NPHP3-ACAD11 readthrough (NMD candidate)	0.724	2.667
84129	ACAD11	acyl-CoA dehydrogenase family member 11	0.911	3.047
51554	ACKR4	atypical chemokine receptor 4	1.496	1.748
79876	UBA5	ubiquitin like modifier activating enzyme 5	0.912	2.62
11073	TOPBP1	DNA topoisomerase II binding protein 1	1.051	2.611
339855	KY	kyphoscoliosis peptidase	2.346	2.431
5096	PCCB	propionyl-CoA carboxylase subunit beta	-1.307	5.947
10274	STAG1	stromal antigen 1	0.424	1.72
105374127	LOC105374127	uncharacterized LOC105374127	2.204	1.71
105374128	LOC105374128	uncharacterized LOC105374128	2.987	3.958
199221	DZIP1L	DAZ interacting zinc finger protein 1 like	2.488	3.877
51146	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	3.667	3.289
51163	DBR1	debranching RNA lariats 1	0.835	2.162
25852	ARMC8	armadillo repeat containing 8	0.631	2.381
347736	NME9	NME/NM23 family member 9	0.861	2.492
22808	MRAS	muscle RAS oncogene homolog	-3.217	9.768
5291	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	0.927	3.675
92370	PXYLP1	2-phosphoxylose phosphatase 1	1.556	3.211
5922	RASA2	RAS p21 protein activator 2	0.537	1.508
483	ATP1B3	ATPase Na+/K+ transporting subunit beta 3	-1.078	8.904
7029	TFDP2	transcription factor Dp-2	1.867	4.207
545	ATR	ATR serine/threonine kinase	-1.24	14.612
5357	PLS1	plastin 1	2.713	3.949
9435	CHST2	carbohydrate sulfotransferase 2	-2.041	2.875
285195	SLC9A9	solute carrier family 9 member A9	-2.262	17.835
2992	GYG1	glycogenin 1	2.411	10.843
6596	HLTF	helicase like transcription factor	0.939	2.235
11342	RNF13	ring finger protein 13	-0.844	1.962
653659	TMEM183BP	transmembrane protein 183B, pseudogene	0.579	2.089
83939	EIF2A	eukaryotic translation initiation factor 2A	-0.729	2.413
51714	SELENOT	selenoprotein T	0.355	1.372
116931	MED12L	mediator complex subunit 12L	2.104	1.554
53829	P2RY13	purinergic receptor P2Y13	0.665	2.467
64805	P2RY12	purinergic receptor P2Y12	-2.086	4.269
285313	IGSF10	immunoglobulin superfamily member 10	1.721	1.596
56670	SUCNR1	succinate receptor 1	2.795	3.128
401093	MBNL1-AS1	MBNL1 antisense RNA 1	0.62	1.616
5028	P2RY1	purinergic receptor P2Y1	1.396	1.377
5912	RAP2B	RAP2B, member of RAS oncogene family	-0.98	2.743
4311	MME	membrane metalloendopeptidase	2.431	1.981
23007	PLCH1	phospholipase C eta 1	1.912	1.563
285315	C3orf33	chromosome 3 open reading frame 33	1.727	2.447
25976	TIPARP	TCDD inducible poly(ADP-ribose) polymerase	1.332	3.558
107986148	LOC107986148	replaced by ID 25976	1.309	2.387
101928236	LOC101928236	uncharacterized LOC101928236	1.43	2.086
79674	VEPH1	ventricular zone expressed PH domain containing 1	4.233	12.78
5806	PTX3	pentraxin 3	2.37	3.949
56925	LXN	latexin	1.441	2.893
10051	SMC4	structural maintenance of chromosomes 4	1.729	4.128
286827	TRIM59	tripartite motif containing 59	1.19	1.836
151742	PPM1L	protein phosphatase, Mg2+/Mn2+ dependent 1L	-1.247	7.384
8706	B3GALNT1	beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)	2.325	2.143
101243545	LINC02067	long intergenic non-protein coding RNA 2067	-0.916	3.657
151790	WDR49	WD repeat domain 49	-2.203	2.538
11235	PDCD10	programmed cell death 10	0.597	1.394
27333	GOLIM4	golgi integral membrane protein 4	-0.746	1.792
55892	MYNN	myoneurin	0.742	1.832
7095	SEC62	SEC62 homolog, preprotein translocation factor	0.886	4.62
26996	GPR160	G protein-coupled receptor 160	2.524	11.161
80012	PHC3	polyhomeotic homolog 3	0.578	2.79
56648	EIF5A2	eukaryotic translation initiation factor 5A2	1.778	2.225
23043	TNIK	TRAF2 and NCK interacting kinase	-1.135	1.744
5337	PLD1	phospholipase D1	1.847	5.619
107986153	LOC107986153		1.167	2.255
8743	TNFSF10	TNF superfamily member 10	-2.712	7.078
57552	NCEH1	neutral cholesterol ester hydrolase 1	-1.862	11.013
1894	ECT2	epithelial cell transforming 2	1.606	4.574
64393	ZMAT3	zinc finger matrin-type 3	-0.73	3.12
4711	NDUFB5	NADH:ubiquinone oxidoreductase subunit B5	-0.778	4.899
8975	USP13	ubiquitin specific peptidase 13	-1.806	3.108
151613	TTC14	tetratricopeptide repeat domain 14	0.813	2.075
23200	ATP11B	ATPase phospholipid transporting 11B (putative)	1.196	5.968
54165	DCUN1D1	defective in cullin neddylation 1 domain containing 1	0.733	2.954
23101	MCF2L2	MCF.2 cell line derived transforming sequence-like 2	1.408	2.982
84002	B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5	1.045	1.419
107986160	LOC107986160	uncharacterized LOC107986160	1.644	2.81
55689	YEATS2	YEATS domain containing 2	-0.712	3.27
79929	MAP6D1	MAP6 domain containing 1	-1.531	1.881
55486	PARL	presenilin associated rhomboid like	-0.715	2.379
10057	ABCC5	ATP binding cassette subfamily C member 5	0.618	1.912
10195	ALG3	ALG3 alpha-1,3- mannosyltransferase	-0.677	2.918
131408	FAM131A	family with sequence similarity 131 member A	-0.907	1.405
5437	POLR2H	RNA polymerase II, I and III subunit H	-0.476	1.44
23355	VPS8	VPS8 subunit of CORVET complex	0.811	4.458
285382	C3orf70	chromosome 3 open reading frame 70	2.852	1.486
59343	SENP2	SUMO specific peptidase 2	0.904	5.515
10644	IGF2BP2	insulin like growth factor 2 mRNA binding protein 2	-1.613	3.088
6434	TRA2B	transformer 2 beta homolog	0.995	2.47
1608	DGKG	diacylglycerol kinase gamma	0.964	4.559
5984	RFC4	replication factor C subunit 4	1.756	2.727
116832	RPL39L	ribosomal protein L39 like	-1.603	2.127
64108	RTP4	receptor transporter protein 4	-2.732	8.584
604	BCL6	BCL6 transcription repressor	1.194	2.408
105374264	LOC105374264	uncharacterized LOC105374264	3.66	2.83
339929	LPP-AS2	LPP antisense RNA 2	1.211	2.366
4026	LPP	LIM domain containing preferred translocation partner in lipoma	-1.215	3.794
100874043	TPRG1-AS1	TPRG1 antisense RNA 1	-2.16	1.611
107986168	LOC107986168		-2.351	1.489
285386	TPRG1	tumor protein p63 regulated 1	-2.339	2.141
152137	CCDC50	coiled-coil domain containing 50	-2.838	3.318
151963	MB21D2	Mab-21 domain containing 2	-2.399	1.653
79572	ATP13A3	ATPase 13A3	-0.455	2.505
93109	TMEM44	transmembrane protein 44	2.4	4.3
152002	XXYLT1	xyloside xylosyltransferase 1	-1.449	5.174
